name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img
g_{50},50,[H+],[H+],[H+],True,False,'g_{113}',images/mod_mol0.svg
g_{46},46,[H-],[H-],[H-],True,False,'g_{114}',images/mod_mol1.svg
g_{49},49,O,[H][O][H],O,True,False,'g_{115}',images/mod_mol2.svg
g_{34},34,,[AG][S][C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],[AG][S][C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],False,False,'g_{116}',images/mod_mol3.svg
g_{26},26,,[AE][S][C](=[O])[C]([C]([H])([H])[H])([C](=[O])[O][H])[H],[AE][S][C](=[O])[C]([C]([H])([H])[H])([C](=[O])[O][H])[H],False,False,'g_{117}',images/mod_mol4.svg
"p_{0,0}",56,,[AE][S][H],[AE][S][H],False,True,'g_{118}',images/mod_mol5.svg
"p_{0,1}",57,,[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],False,True,'g_{119}',images/mod_mol6.svg
"p_{0,2}",58,O=C=O,[C](=[O])=[O],O=C=O,True,True,'g_{120}',images/mod_mol7.svg
"p_{0,3}",59,,[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],False,True,'g_{121}',images/mod_mol8.svg
"p_{0,4}",62,,[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],False,True,'g_{122}',images/mod_mol9.svg
"p_{0,5}",63,,[H][C]([C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],[H][C]([C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],False,True,'g_{123}',images/mod_mol10.svg
g_{31},31,,[AE][S][C](=[O])[C]([O][C]([H])([H])[H])([C](=[O])[O][H])[H],[AE][S][C](=[O])[C]([O][C]([H])([H])[H])([C](=[O])[O][H])[H],False,False,'g_{124}',images/mod_mol11.svg
"p_{0,6}",66,,[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],False,True,'g_{125}',images/mod_mol12.svg
"p_{0,7}",68,,[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],False,True,'g_{126}',images/mod_mol13.svg
"p_{0,8}",71,,[H][C](=[C]([O][C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],[H][C](=[C]([O][C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],False,True,'g_{127}',images/mod_mol14.svg
"p_{0,9}",72,,[H][C]([O][C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],[H][C]([O][C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H],False,True,'g_{128}',images/mod_mol15.svg
"p_{0,10}",75,,[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H],False,True,'g_{129}',images/mod_mol16.svg
"p_{0,11}",77,,[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{130}',images/mod_mol17.svg
"p_{0,12}",80,,[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{131}',images/mod_mol18.svg
"p_{0,13}",82,,[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{132}',images/mod_mol19.svg
"p_{0,14}",85,,[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{133}',images/mod_mol20.svg
"p_{0,15}",87,,[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{134}',images/mod_mol21.svg
"p_{0,16}",89,,[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],[H][O][C]([C]([O][C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]([C]([H])([H])[H])=[C]([H])[C]([C]([H])([H])[H])([H])[C]([O][H])([C]([O][C]([H])([H])[H])([C]([H])([C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H])[H])[H])[H])[H],False,True,'g_{135}',images/mod_mol22.svg
g_{27},27,,[AE][S][C](=[O])[C]([C](=[O])[O][H])([H])[H],[AE][S][C](=[O])[C]([C](=[O])[O][H])([H])[H],False,False,'g_{136}',images/mod_mol23.svg
